id,ulasan,tanggal
817,sangat membantu proses tambah daya,2025-09-30
818,sangat membantu pelanggan PLN,2025-09-30
819,pln mobile bagus sangat membantu,2025-09-30
820,paten kalee oyeeeee yeeeeooo.,2025-09-30
821,Aplikasinya lengkap sangat bagus,2025-09-30
822,Terima kasih PLN terbaik 🫡,2025-09-30
823,dengan adanya aplikasi PLN mobile semuanya semakin mudah 💯👍,2025-09-30
824,pengaduan listrik padam jadi mudah,2025-09-30
825,sangat terbantu dgn adanya aplikasi PLN MOBILE baik pengaduan dan beli token,2025-09-30
826,aplikasi su tambah bagus dengan ada fitur-fitur terbaru yg semakin mudah,2025-09-30
827,TIdak perlu repot dan ribet kekantor PLN semua sudah tersedia di Aplikasi PLN MOBILE,2025-09-30
828,memudarkan laporan kelistrikan,2025-09-30
829,makin keren dengan aplikasi PLN mobile,2025-09-30
830,Sangat membantu untuk kebutuhan listrik dirumah,2025-09-30
831,pelayanan sangat memuaskan,2025-09-30
832,mudah dan cept mengatasi pada saat pengaduan listrik,2025-09-30
833,pendaftaran pasang baru makin mudah,2025-09-30
834,pln sangat membantu,2025-09-30
835,PLN mobile keren mudah di gunakannya dan layanannya pun cepet.🥰,2025-09-30
836,semua semakin mudah,2025-09-30
837,PLn mobile adalah aplikasi terbaik,2025-09-30
838,aplikasi yang sangat berguna ba,2025-09-30
839,sangat mudah saat kita lapor ke pln,2025-09-30
840,aplikasi ini sangat bagus segala urusan di pln jadi tambah mudah terimakasih pln,2025-09-30
841,aplikasi pln mobile ini sangat membantu dalam membantu pelanggan menyelesaikan masalah tentang listrik,2025-09-30
842,terimakasih banyak atas pelayanan dari PLN atas aplikasi PLN yang diberikan kepada kami mantap pln,2025-09-30
843,luar biasa sangat memudahkan pelanggan PLN,2025-09-30
844,laporan kerusakan listrik makin mudah,2025-09-30
845,Aplikasi terbaik dengan pelayanan terbaik,2025-09-30
846,aplikasi ini sangat membantu kami dalam kepengurusan pasang baru dan tambah daya... buat laporan gangguan listrik juga ok lah..,2025-09-30
847,terimakasih atas pelayanannya yang sangat memuaskan,2025-09-30
848,Sangat membantu masyarakat,2025-09-30
849,apk terbaik dan petugasnya ramah2,2025-09-30
850,PLN MOBILE SANGAT MEMBANTU 0ELANGGAN,2025-09-30
851,APLIKASINYA BAGUS DAN BERGUNA DISAAT SAYA MELAKUKAN TAMBAH DAYA HANYA MELALUI APLIKASI,2025-09-30
852,terima kasih pln,2025-09-30
853,Sangat cepat responnya. PLN ok.🙏,2025-09-30
854,pln terbaik dengan aplikasi pln mobile ada pembayaran dan perubahan daya.,2025-09-30
855,aplikasi yg berguna,2025-09-30
856,aplikasi mudah dan cepat di gunakan petugas ramah,2025-09-30
857,pelayanan sangat cepat,2025-09-30
858,Aplikasi yng sangat membantu sekali saat pengaduan listrik,2025-09-30
859,mempermudah proses tambah daya listrik,2025-09-30
860,terimakasih PLN sudah hadir langsung menemui pelanggan. semoga makin bagus,2025-09-30
861,membantu sekali.untuk petugas PLN terimakasih,2025-09-30
862,cepat dan tanggap saat menangani. sudah normal dan lancar❤,2025-09-30
863,pakai aplikasi pln mobil makin cepat.,2025-09-30
864,pln mobel penanganan cepat,2025-09-30
865,respon dan pelayanan nya cepat,2025-09-30
866,aplikasi plng lebih mudah,2025-09-30
867,aplikasi ini sangat bagus untuk semua jenis urusan mengenai PLN jadi lebih mudah good aplikasi,2025-09-30
868,pln pelayanannya sangat memuaskan,2025-09-30
869,aplikasi mudah di gunakan sangat membantu pelanggan.....,2025-09-30
870,salah satu manfaat diantara manfaat PLN Mobile sangat membantu sekali dlm laporan Gangguan bayar dan beli token murah adminnya,2025-09-30
871,pelayanannya sangat cepat apalagi petugasnya ramah sekali,2025-09-30
872,sangat membantu saya dalam hak listrik,2025-09-30
873,aplikasi terbaik PLN,2025-09-30
874,instal aplikasi untuk masalah kelistrikan,2025-09-30
875,sangat mwmbantu untuk komplain kerusakan maupun panambahan daya.,2025-09-30
876,migrasi di PLN mobile mudah,2025-09-30
877,dengan ada nya pln mobil memudah kan saya untuk melakukan kan penga duan,2025-09-30
878,aplikasi yang sangat membantu untuk urusan perlistrikan dan banyak promo yang ditawarkan,2025-09-30
879,sdh teratasi Petugas dr PLN terimakasih PLN,2025-09-30
880,supaya penggunaannya lebih cepat dan lebih mudah,2025-09-30
881,memudahkan pelanggan saat ada gangguan listrik,2025-09-30
882,PELANGGAN MERASA TERBANTU DNG PLN MOBILE,2025-09-30
883,pln mobile sangat mmbntu plnggan,2025-09-30
884,sangat puas dengan pelayanannya,2025-09-30
885,aplikasi sangat penting,2025-09-30
886,Aplikasi PLN Mobile ini sangat membantu pelanggan dalam mengatasi ganguan listrik. Respon petugas PLN juga sangat cepat dalam menangani pelanggan.,2025-09-30
887,PLN Mbail lebih Mudah Dan Cepat,2025-09-30
888,penanganan petugas PLN nya cepat tanggap,2025-09-30
889,petugas sangat ramah dan baik..terima kasiih pln,2025-09-30
890,untuk ambah daya,2025-09-30
891,terimakasih atas pelayanan petugas yg ramah dan sopan,2025-09-30
892,trm kasih pln...,2025-09-30
893,aplikasi ini sangat bagus untuk semua urusan di PLN jadi lebih mudah terimakasih pln,2025-09-30
894,aplikasi yg sangat bagus bos,2025-09-30
895,respon cepat dan penyelesaian masalah tertangani dengan baik,2025-09-30
896,Perbaiki layanan pengaduan kalian. Sudah chat CS tapi tetap tidak ada proses. tiba2 pengaduan saya telah selesai di proses. Sebelum pengaduan ditangani sampai selesai baru kalian buat statusnya telah selesai. INI DIVISIT SAJA BELUM UDAH KALIAN UBAH STATUSNYA TELAH SELESAI DIPROSES. MINTA BUKTI VISIT SAMA BIRO KALIAN TU. JANGAN ASAL TERIMA AJA.,2025-09-30
897,masalah kelistrikan secara onln,2025-09-30
898,aplikasi sangat membantu saya dalam hal penangan gangguan.,2025-09-30
899,mempermudah tambah daya ke 1300va,2025-09-30
900,terima kasih PLN,2025-09-30
901,pengajuan pendaftaran pasang baru melalui aplikasi ini sangat membantu dan prosesnya cepat.,2025-09-30
902,Pelayanan baik..sangat memudahkan dalam akses informasi layanan..,2025-09-30
903,aplikasi yg berguna,2025-09-30
904,pengaduan makin cepat,2025-09-30
905,pelayanan bagus dan cepat,2025-09-30
906,pengaduan lebih cepat,2025-09-30
907,pln mobil lebih mudah untuk gangguan,2025-09-30
908,sangat membantu dan memuaskan,2025-09-30
909,pengalaman yang sangat luar biasa bisa akses dari pln mobile,2025-09-30
910,sangat membantu sekali... untuk pengaduan dan laporan .. trumakasih,2025-09-30
911,pln mobile sakpore....,2025-09-30
912,dengan alikasi ini memudahkan kami untuk proses pasang baru,2025-09-30
913,puas dan cepat isi,2025-09-30
914,pelayanan sangat baik dan cepat,2025-09-30
915,sangat puas dengan aplikasi ini 👍,2025-09-30
916,lebih memudahkan untuk segala urusan kelistrikan dll,2025-09-30
917,penganduan ganggu an lewat aplikasi pln makin cepat.,2025-09-30
918,Luar biasa layanan PLN super cepat.,2025-09-30
919,layanan PLN mantaps...prima . pengaduan lewat aplikasi langsung ditangani oleh petugas .. sukses terus PLN ..,2025-09-30
920,aplikasi nya sangat memudahkan. 👍👍,2025-09-30
921,apk yg sangat amat bermanfaat,2025-09-30
922,mudah dan cepat,2025-09-30
923,fitur pengaduannya lengkap dan aksesnya sangat cepat🫰🏻,2025-09-30
924,Terimakasih banyak.. pelayanan PLN sangat memuaskan,2025-09-30
925,Sangat bermanfaat untuk perubahan daya.,2025-09-30
926,mantap aman terkendali tapi sayang sekali swacem hanya bisa 4 id pelanggan tidak seperti biasa nya🙏🙏thnks🙏,2025-09-30
927,aplikasi sangat membantu,2025-09-30
928,sangat membantu sekali,2025-09-30
929,pln mobile membantu saya dalam membeli token listrik. mantap,2025-09-30
930,sangat membantu terimah kasih PLN,2025-09-30
931,layananan yg sangat cepat..👍👍👍.. terimakasih untuk layanannya..,2025-09-30
932,PLN mobile membantu saya dalam melakukan transaksi pembayaran tagihan listrik,2025-09-30
933,pln mobile membantu saya dalam melakukan pembelian token listrik,2025-09-30
934,aplikasi sangat mudah dan membantu sekali ketika ada masalah listrik di rumah dgn apl ini sua makin mudah dan cepat pelayanan dari PLN,2025-09-30
935,pln mobile membantu saya dalam membeli pulsa token,2025-09-30
936,pln mobile membantu saya dalam m3mbeli token listrik,2025-09-30
937,pln mobile membantu saya dalam membeli token listrk,2025-09-30
938,1 bintang dulu. pengajuan utk kembalikan subsidi listrik ortu saya yg lansia sulit jadi bayar 7ratusan tiap bulan.,2025-09-30
939,sangat membantu mempercepat pekerjaan,2025-09-30
940,adanya pln mobil sangat membantu,2025-09-30
941,pelayanan cepat dan bagus thanks,2025-09-30
942,aplikasi yg mempermudah smua urusan mengenai PLN sangat membantu,2025-09-30
943,Dengan adanya aplikasi PLN mobile lapor gangguan listrik jadi lebih mudah,2025-09-30
944,di rekomendasikan adik saya tyas. oke sipp.,2025-09-30
945,Sayang banget sering beli token di pln mobile eh tokennya sering ga muncul jadi merugikan,2025-09-30
946,Aplikasi mobile sangat membantu Petugas baik dan ramah Pelayanan cepat dan tanggap,2025-09-30
947,pln mobile sangat baik,2025-09-30
948,dengan pln mobile saya dapat dengan mudah melakukan transaksi baik pembelian atau pembayaran token listrik.,2025-09-30
949,trimakasih sangat membantu,2025-09-30
950,memudahkan saya untuk membeli token dan mengadukan ganguan listrik di lokasi terdekat dg saya,2025-09-30
951,pln mobile sangat membantu saya tambah daya dan pasang baru ....petugasya cekatan &ramah ..... terus maju pln mobile ....... pln semarang selatan luar biasaaaaa........,2025-09-30
952,migrasi di pln mobile mdh,2025-09-30
953,pelayanan PLN cepat dan tanggap..,2025-09-30
954,aplikasi sangat membantu,2025-09-30
955,sangat membantu baguss sekaliiiii,2025-09-30
956,aplikasi sangat mudaj dan membantu sekali ketika ada masalah atau gangguan listrik dgn apl ini semua makin mudah dan cepat pelayanan dari PLN,2025-09-30
957,aplikasi pln sangat membantu pelaporan gangguan,2025-09-30
958,selamat saya pake ini akun jossss engga ada kendala yg berarti,2025-09-30
959,pengaduan di PLN mobile praktis,2025-09-30
960,sangat memuaskan pengaduan saya sangat d respon dengan baik pokok ny jemmppooollll puas banget PLN,2025-09-30
961,sangat membantu sekali,2025-09-30
962,pelayanan nya sangat baik dan memuaskan ... pak security nya memberi arahan dgn baik dan benar ... semoga di lancar kan pemasangan nya 🙏🏻,2025-09-30
963,petugas ramah bila ngasi saran,2025-09-30
964,lebih memudahkan ada PLN mobile,2025-09-30
965,terselesaikan dengan baik terimakasih pelayanan memuaskan pln okeeee petugas sangat komunikatif & Amanah,2025-09-30
966,pelayanan baik dan cepat,2025-09-30
967,aplikasinya sangat mudah diakses dan mudah proses permohonan,2025-09-30
968,pengarahan dengan aplikasi PLN mobile ini sangat luar biasa,2025-09-30
969,segalanya mudah dengan aplikasi ini. mau cek pembayaran gampang mau lapor soal pemadaman gampang dan semuanya gampang dengan aplikasi PLN Mobile,2025-09-30
970,Buat saya aplikasinya sangat membantu,2025-09-30
971,pln mobile terbaik,2025-09-30
972,semakin mudah dengan PLN MOBILE,2025-09-30
973,pekerjaanbya cepat dan bagus,2025-09-30
974,mantap makin canggih sekarang apk pln mobile👍,2025-09-30
975,aplikasi yg berguna,2025-09-30
976,sangat membantu dimanapun berapa🤩,2025-09-30
977,aplikasi ini sangat berguna bagi masyarakat yg kesulitan dalam kelistrikan..,2025-09-30
978,Tim nya gercep dalam menangani keluhan konsumen. semoga tidak mengecewakan. terimakasih,2025-09-30
979,Mudah cepat terpercaya,2025-09-30
980,tidak bisa daftar masuk,2025-09-30
981,sangat membantu dan penganangannya sangat cepat..,2025-09-30
982,kurang simple bagi orang yang gaptek,2025-09-30
983,Sangat membantu pelaporan,2025-09-30
984,terima kasih PLN pelayanan cepat,2025-09-30
985,Bagus PLN mobile,2025-09-30
986,perbaikan cepat pelayanan ramah,2025-09-30
987,selalu mengusahakan yg terbaik.,2025-09-30
988,aplikasi ini sangat memudahkan pelanggan mau lapor pengaduan dan tambah daya,2025-09-30
989,Pelayanan nya semakin bagus,2025-09-30
990,Alhamdulillah PLN mobail mantap sekali... masalah kelistrikan memang 👌👌👌,2025-09-30
991,pln mobil mantap jos gandos,2025-09-30
992,aplikasi yg sangat membantu,2025-09-30
993,mantap PLN Karangnunggal TSM cepat tanggap,2025-09-30
994,pln mobile sangat efektip untuk mempercepat layanan pln,2025-09-30
995,pln cepat pelanyanannya 👍,2025-09-30
996,aplikasi sangat membantu dan mudah dgunakan,2025-09-30
997,pln mobile is the best,2025-09-30
998,PLN Mobile makin mantap,2025-09-30
999,apk cepat pemasangan cepat,2025-09-30
1000,terimaksih pln mobil atas bantuan penanganan listriknya,2025-09-30
1001,penanganan d PLN mobile lambat,2025-09-30
1002,meteran belum di pasang tapi keterangan di aplikasi sudah selesai ? ga singkron,2025-09-30
1003,aplikasi sangat membantu.,2025-09-30
1004,apk cepat menanggapinya,2025-09-30
1005,pln mantaaap pelayanan laporan gangguan ke pemasangan cepat petugas ramah,2025-09-30
1006,Dengan aplikasi pln mobile urusan listrik jd mudah,2025-09-30
1007,mudah dan ga ribet,2025-09-30
1008,Dari Semarang saya bisa membayar listrik Orang Tua yg berada di Tegal.,2025-09-30
1009,sangat cepat respon,2025-09-30
1010,untuk gangguan listrik lapor dengan pln mobile,2025-09-30
1011,aplikasi ini sangat membantu dan ttp ok,2025-09-30
1012,mau pasang listri k baru ajukan permohonan lewat pln mobile,2025-09-30
1013,bagus dan sangat bijaksana,2025-09-30
1014,pln mobile ok mantap,2025-09-30
1015,pemasangan baru sudah input alamat dengan benar malah berubah sendiri alhasil gak di pasang akhirnya restitusi uang gak kembali kembali,2025-09-30
1016,Pln mobile sangat membantu guna meningkatkan pelayanan dan pelaporan pelanggan. Mantap,2025-09-30
1017,agak ribet kalau ada saldo di aplikasi pln mobil dan kalau widraw menarik saldonya lama,2025-09-30
1018,baik dan tindakan cepat,2025-09-30
1019,map masih kurang akurat,2025-09-30
1020,PLN Mobile Hebat....Semakin Jos banget.. tambah keren menyala ABANGKU,2025-09-30
1021,mudah dan cepat,2025-09-30
1022,baik sekali pelayanan super cepat,2025-09-30
1023,bagus cepat ramah,2025-09-30
1024,aplikasi yg sangat memudahkan saya untuk melapor gangguan listrik tanpa harus ke kantor jaga,2025-09-30
1025,maju terus pln mobile,2025-09-30
1026,semoga dengan aplikasi pln mobile,2025-09-30
1027,mantap pembelian token jadi mudah,2025-09-30
1028,Live chatnya tidak berfungsi,2025-09-30
1029,Cepat tanggap 👍,2025-09-30
1030,trimkasih PLN sangat prktis,2025-09-30
1031,Data sudah diisi kok bisa hilang lagi,2025-09-30
1032,sangat membantu dalam gangguan listrik maupun pelayanannya,2025-09-30
1033,aplikasi busuk mau daftar untuk login aja susah amat!! tinggal buat pin selalu muncul sesi anda berakhir . berulang 3 kali begitu terus!!,2025-09-30
1034,apk ny sangat membantu,2025-09-30
1035,semoga tidak sering gangguan di aplikasi,2025-09-30
1036,PLn mobile terbaik dalam melayani,2025-09-30
1037,aplikasi sangat membantu,2025-09-30
1038,Pln mobil sangat membantu masyarakat,2025-09-30
1039,pelayanannya cepat dan tanggap,2025-09-30
1040,pokoknya mantap deh.,2025-09-30
1041,sangat membantu pengaduan,2025-09-30
1042,memang paling ok dan terbaik,2025-09-30
1043,PLN tidak sedang baik2 aja alias bajigan,2025-09-30
1044,aplikasi pln mudah di gunakan untuk pengaduan dan isi token listrik juga murah,2025-09-30
1045,dimanapun Dan sampai kapanpun PLN selalu tampil di depan,2025-09-30
1046,PLN mantap.respon cepat,2025-09-30
1047,cepat respon nya,2025-09-30
1048,penanganan cepat dan baik,2025-09-30
1049,pelayanan cepat . tanggap dan nyaman.,2025-09-30
1050,saran saya ditambah opsi pembayaran QRIS agar lebih mudah dan cepat melakukan pembayaran,2025-09-30
1051,Sangat membantu untuk memudahkan dalam pelaporan ketika terjadi kendala gangguan kelistrikan. Memudahkan dalam penyampaian informasi dan memudahkan mendapatkan informasi tentang kelistrikan.,2025-09-30
1052,sayang nya sering gangguan,2025-09-30
1053,bagus dan membantu,2025-09-30
1054,terbaik dan cepat,2025-09-30
1055,matlis kocak padahal kaga ujan aneh lu,2025-09-30
1056,sangat membatu dhn apli ini,2025-09-30
1057,layanan cepat tanggap,2025-09-30
1058,terimakasih PLN ku,2025-09-30
1059,nyesel beli token dsini. gagal pembelian tp saldo ga dikembaliin dengan otomatis. smpe sebulan msh jg blum dikembaliin,2025-09-30
1060,pelayanan g jelas,2025-09-30
1061,sangat cepat dan sangat efisien,2025-09-30
1062,terimakasih ... pelayanan baik dan cepat 🙏,2025-09-30
1063,pelayanan cepat ramah petugas nya.,2025-09-30
1064,baru menggunakan aplikasi ini,2025-09-30
1065,trima kasih pln mobil kami sangat senang dgn adanya alplikasi ini kami merasa Terbantu dalm bidang kelistrikan 👍👍,2025-09-30
1066,lumayan punya banyak kupon tapi ga guna,2025-09-30
1067,pln mobile aplikasi paling ampuh utk lapor masalah listrik.. dan bayar2..👍👍👍 kerennnnnn👍👍👍,2025-09-30
1068,Tentang listrik di rumah semua gampang pakai pln mobile👌👌,2025-09-30
1069,Tolong jangan eror,2025-09-30
1070,aplikasi nya bagus dan mudah di gunakan,2025-09-30
1071,lebih mudah dalam menangani masalah kelistrikan,2025-09-30
1072,Aplikasi sangat memudahkan pelanggan saat menghubungi pLN,2025-09-30
1073,tingkatkan pelayanan yang terbaik,2025-09-30
1074,saya masukan nomer meter kok gk bisa ya,2025-09-30
1075,Terima kasih PLN karena telah memberikan aplikasi terbaru PLN mobile yg mn telah mempermudah saya untuk melakukan transaksi pembayaran rekening PLN semakin jaya ke depan,2025-09-30
1076,Terima kasih Yth PLN Situbondo(PLN Panarukan) atas pelayanannya untuk permohonan invoice tiap bulan,2025-10-01
1077,layanan masyarakat yang udah bayar aja iklan kaya semut muncut nya setiap icon yang ada di aplikasi...udah foto ktp masih suruh foto lagi..,2025-10-01
1078,kelistrikan lebih mudah,2025-10-01
1079,Berkat PLN mobile Urusan listrik jadi lebih mudah,2025-10-01
1080,untuk pengisian gagal tapi dana udah seminggu ga kembali bener2 korup sih ini,2025-10-01
1081,semoga lebih baik,2025-10-01
1082,aplikasi yg bagus bisa membantu pelanggan ketika mengalami masalah,2025-10-01
1083,untuk pembayaran tambahkan QRIS biar lebih mudah,2025-10-01
1084,aplikasinya sangat membantu dan terbaik,2025-10-01
1085,pln mobile yes,2025-10-01
1086,efektif ..sangat membantu,2025-10-01
1087,Pelayanan semakin mudah dan komplain pengaduan jadi gampang.,2025-10-01
1088,pelayanya sangat bagus dan ramah pada pelanggan,2025-10-01
1089,memudahkan untuk melakukan pengaduan tidak perlu lagi ke kantor,2025-10-01
1090,aplikasi cerdas bagus top dan praktis,2025-10-01
1091,PLN aceh sebentar Betar gelap lagi listrik jauh dari normal,2025-10-01
1092,APLIKASI INI SANGAT BAGUS UNTUK SEMUA URUSAN PLN JADI LEBIH MUDAH TERPROVOKASI PLN,2025-10-01
1093,semakin lengkap fiturnya. semakin bagus,2025-10-01
1094,mantap PLN 👍👍👍,2025-10-01
1095,Jaya selalu..terima kasih PLN...aplikasi ini sangat membantu sy.,2025-10-01
1096,pln mobile sangat membantu,2025-10-01
1097,untuk masalah periksa,2025-10-01
1098,pelayanan sangat membantu,2025-10-01
1099,pln terbaik sak indonesia raya,2025-10-01
1100,kadang transaksi tiba² gagal dan untuk pengembalian dana tidak di kembalikan atau hangus,2025-10-01
1101,saya jadi tahu cara mendaftar pasang baru melalui aplikasi PLN mobile denganudah dan cepat,2025-10-01
1102,aplikasi ini sangat membantu memudahkan kami mengakses,2025-10-01
1103,pelayanan cepat dan ramah,2025-10-01
1104,PLN mobile mudah dan cepat aplikasi PLN mobil,2025-10-01
1105,masalah gangguan lebih crpat leaqat plikasi,2025-10-01
1106,aplikasi yg sangat membantu,2025-10-01
1107,pln mobile sangat membantu,2025-10-01
1108,untuk pelayanan sangat puas dan sangat cepat dalam mengatasi trobel,2025-10-01
1109,pln mantap betul,2025-10-01
1110,terimkasih pln mobile sayangat membantu saya dalam segi permohonon penambahan daya atau pun mengani keluhan,2025-10-01
1111,cepat tanggap.. langsung diproses dan datang.,2025-10-01
1112,aplikasi membantu dan memudahkan untuk pengaduan gangguan,2025-10-01
1113,aplikasi memudahkan laporan kelistrikkan,2025-10-01
1114,respon petugas cepat.,2025-10-01
1115,Pln mobile sangat membantu untuk kita membutuhkan informasi tentang PLN,2025-10-01
1116,aplikasi mamang mantap dmsemua bisa di gunaka tambah daya cepat di proses🙏🙏,2025-10-01
1117,Mati lampu sudah 2 hari dngan jangka waktu 14 jam bru hidup lgi,2025-10-01
1118,pengaduan di pln mobil mudah,2025-10-01
1119,pelayanan cepat sangat membantu masyarakat. dan pegawainya sangat ramah dan profesional.,2025-10-01
1120,pln mobil memang lebih mudah buat pengaduan lampu padam,2025-10-01
1121,bagus dan sangat membantu,2025-10-01
1122,adanya pln mobile semua makin mudah,2025-10-01
1123,Mohon bantuannya kenapa saya tidak bisa update memang listrik yang sy pakai bukan atas nama saya ...pemasangan sekitar tahun 1990 saya tinggal melanjutkan aja mungkin berpengaruh dg aplikasi mobile PLN saya...mohon solusi,2025-10-01
1124,Tolong di usahakan bisa top up saldo untuk transaksi PLN mobile,2025-10-01
1125,petugas gerak cepat dalam melayani pengaduan,2025-10-01
1126,mudah mengakses PLN laporan gangguan cepat mudah dan reslon petugas juga cepat,2025-10-01
1127,PLN mobile oke,2025-10-01
1128,PLN mobil sakin membantu pengaduan,2025-10-01
1129,pln mobile semakin oke..........😘,2025-10-01
1130,Perusahaan monopoli yg katanya rugi mulu wkwkwkwkland,2025-10-01
1131,Terima kasih untuk pelayanan PLN kwh meternya sudah terpasang,2025-10-01
1132,aplikasi mudah di gunakan pelayanan cepat.,2025-10-01
1133,aplikasi ini membantu saya melaporkan masalah kwh dirumah saya,2025-10-01
1134,aplikasi yg memudahkan masyarakat,2025-10-01
1135,mudah isi token,2025-10-01
1136,Bagus n membantu kami dlm pelayanan Listrik,2025-10-01
1137,dengan pln mobile gangguan listrik rumah saya cepat diperbaiki,2025-10-01
1138,semua masalah satu solusi apapun masalah tentang listrik cukup pakai pln mobile pelayanan cepat dan tepat,2025-10-01
1139,aplikasi sangat membantu,2025-10-01
1140,sangat mudah dan istimewa,2025-10-01
1141,pelayanan mudah & cepat,2025-10-01
1142,bisa membeli token,2025-10-01
1143,Terima kasih atas bantuan dan fitur di aplikasi,2025-10-01
1144,instal aplikasi untuk periksa,2025-10-01
1145,pln mobile sangat membantu,2025-10-01
1146,terima kasih pln,2025-10-01
1147,bisa bayar tagihan listrik,2025-10-01
1148,migrasi di PLN mobile mudah,2025-10-01
1149,aplikasi nya membantu sekali dalam pelayanan gangguan listrik rumah saya,2025-10-01
1150,aplikasi ini bagus banyak guna nya terutama saat listrik rusak,2025-10-01
1151,saya merasa sangat terbantu terimakasih PLN mobile,2025-10-01
1152,ribet dan susah,2025-10-01
1153,Dengan adanya aplikasi PLN MOBILE semua menjadi mudah.Mantap & Luar Biasa,2025-10-01
1154,PLN Mobile sangat membantu sekali dan lengkap👍🏻❤️🇮🇩.,2025-10-01
1155,terima kasih pln,2025-10-01
1156,sangat puas menggunakan pln mobile tapi hari ini gak tau kenapa gak bisa bertransaksi,2025-10-01
1157,layanan cepat tanggap.,2025-10-01
1158,aplikasinya bagus ..,2025-10-01
1159,Alhamdulillah laporan ditanganin dg baik oleh pak satpam,2025-10-01
1160,aplikasi ini memudahkan pelanggan mau lapor masalah pengaduan,2025-10-01
1161,layanan cepat petugas sigap,2025-10-01
1162,pln mobile memang top,2025-10-01
1163,sangat membantu dengan ada nya aplikasi ini,2025-10-01
1164,pelayanan bagus dan fast respon,2025-10-01
1165,lebih dipermudah utk layanan pelanggan,2025-10-01
1166,kenapa tidak di kasih nomer verifikasi????,2025-10-01
1167,pelayanan bagus.. dan cepat,2025-10-01
1168,penanganan nya cpt untuk mati lampu trimakasih PLN mobile dan petugas lapangan,2025-10-01
1169,pengaduan di pln mobil mdh,2025-10-01
1170,pln mobile memberikan kemudahan dalam melakukan transaksi secara online,2025-10-01
1171,aplikasi sangat membantu,2025-10-01
1172,mudah dan biaya admin nya murah,2025-10-01
1173,sangat baik pelayanannya dan petugasnya juga respon cepat,2025-10-01
1174,lebih mudah dan cepat,2025-10-01
1175,PLN mobile semangkin mempermudah transaksi,2025-10-01
1176,sudah tertangani dengan tim PLN palangkaraya,2025-10-01
1177,Selalu minta/muncul saran menggunakan versi terbaru/ update padahal sudah menggunakan yg terbaru...?,2025-10-01
1178,pelayanan sangat baik,2025-10-01
1179,Aplikasi sangat membantu,2025-10-01
1180,sering sering mati lampu ya ☺️,2025-10-01
1181,Alhamdulillah segera tanggap dan ditindak lanjuti dan langsung menyala,2025-10-01
1182,aplikasi pln mobile sangat membantu saya,2025-10-01
1183,lebih gampang untuk laporan kalau ada gangguan.,2025-10-01
1184,pln mobile mantap,2025-10-01
1185,sangat mudah terpecaya,2025-10-01
1186,aplikasi ini kasih ini sangat membantu,2025-10-01
1187,Ok Mantap PLN Mobile,2025-10-01
1188,cepat ditanggapi dan mudah,2025-10-01
1189,terimakasih PLN pelayanannya sangat cepat dan untuk petugasnya pak arifin pelayanannya sangat cekatan dan ramah........ PLN SEMARANG SELATAN LUAR BIASA,2025-10-01
1190,sangat membantu walaupun belum di verifikasi dengan pln mobile,2025-10-01
1191,sudah update mau bayar listrik gaaada metode pembayaran,2025-10-01
1192,Trimakasih utk aplikasi bermanfaat utk informasi tagihan listrik dan pengaduan..,2025-10-01
1193,mengajukn subsidi listrik bisa nggak min lewat pln mobile.,2025-10-01
1194,Sangat bagus dan cepat..,2025-10-01
1195,pln mobil sangat mudah,2025-10-01
1196,pln mobile keren saya gak perlu lagi keluar rumah beli token kwh saya,2025-10-01
1197,baik selalu di permudah,2025-10-01
1198,Solusi terbaik dikala gangguan kelistrikan,2025-10-01
1199,sangat jelas mudah,2025-10-01
1200,sangat bagus sekali,2025-10-01
1201,terimakasih PLN pelayanan cepat,2025-10-01
1202,sangat membantu pelayanan,2025-10-01
1203,intal aplikasi untuk gangguan kelistrikan,2025-10-01
1204,aplikasi terbaik sepanjang masa ..top wah the best🥰🥰😍😍,2025-10-01
1205,dengan adanya aplikasi ini kami sangat terbantu dalam menggunakan aplikasi ini karna bisa beli pulsa dan laporan,2025-10-01
1206,ternyata semakin mudah. dari tempat tidur aja bisa laporan pembelian token admin murah.,2025-10-01
1207,Pelayanan baik respon cepat PLN Mobile Aplikasinya sangat membantu mantap Pln,2025-10-01
1208,terimakasih PLN aplikasi sangat membantu sehat sehat pegawai nya,2025-10-01
1209,y walaupun kecewa awal tp y sudahlah,2025-10-01
1210,cepat mudah tetpecaya,2025-10-01
1211,PLN Mobile aplikasi terbaik. sangat membantu bgt,2025-10-01
1212,sangat bait and bagus,2025-10-01
1213,mempermudah dalam pelayanan,2025-10-01
1214,penangan cepat makasih PLN,2025-10-01
1215,aplikasi lengkap buat pengaduan,2025-10-01
1216,Sangat membantu saat ada kendala listrik.,2025-10-01
1217,senang dengan adanya PLN mobile sangat user friendly dimana memberikan layanan dalam genggaman yang mudah untuk bayar listrik dan beli token lampu di rumah,2025-10-01
1218,applikasi ini sangat membantu,2025-10-01
1219,layanan semakin mudah dan cepat.sangat membantu,2025-10-01
1220,terima kasih perubahan tarif PLN Wates,2025-10-01
1221,semua makin mudah,2025-10-01
1222,terimakasih..petugasnya cepat tanggap n cepat di tangani. 🙏🙏,2025-10-01
1223,aplikasiya oke bgt,2025-10-01
1224,CS gercep. Sip pokonya,2025-10-01
1225,tidak bisa menambah id,2025-10-01
